Wikidata ID,Relation,Template
P39-P102,position held/political party,"While <subject1> was holding the position of <object1>, which political party did <subject2> belong to "
P39-P108,position held/employer,"While <subject1> was holding the position of <object1>, which employer did <subject2> work for "
P102-P39,political party/position held,"While <subject1> was a member of <object1>, which position did <subject2> hold "
P69-P108,educated at/employer,"While <subject1> attended <object1>, which employer did <subject2> work for "
P108-P69,employer/educated at,"While <subject1> was working for <object1>, which school did <subject2> attend "
P69-P39,educated/position held,"While <subject1> attended <object1>, which position did <subject2> hold "
P108-P39,employer/position held,"While <subject1> was working for <object1>, which position did <subject2> hold "
P102-P108,political party/employer,"While <subject1> was a member of <object1>, which employer did <subject2> work for "
P69-P102,educated at/political party,"While <subject1> attended <object1>, which political party did <subject2> belong to "
P102-P69,political party/educated at,"While <subject1> was a member of <object1>, which school did <subject2> attend "
P54-P69,member of sports team/educated at,"While <subject1> was playing for <object1>, which school did <subject2> attend "
P54-P286,member of sports team/head coach,"While <subject1> was a member of <object1>, who was the head coach of <subject2> "
